company_name,fiscal_year,start_date,end_date,statement_date,revenue_gl_code,revenue,expenses_gl_code,expenses,net_income_gl_code,net_income,bank_account_number,routing_number,tax_id_ein,auditor_name,auditor_signature_block,credit_card_number
"Acosta, Welch and Lewis",2026,2026-01-01,2026-12-31,2026-04-29,1001,5645099.15,2045,2290184.32,3001,3354914.83,086435872807,889459837,48-9567835,"William Mcdonald, CPA","Signed electronically by William Mcdonald, CPA",3554555063631433
Johnson-Turner,2026,2026-01-01,2026-12-31,2026-09-29,1001,2901394.67,2045,1927451.69,3001,973942.98,869125671655,146266477,34-6258287,"Kathleen Jones, CPA","Signed electronically by Kathleen Jones, CPA",4004810736523796628
Beltran Group,2026,2026-01-01,2026-12-31,2026-02-19,1001,1344821.72,2045,197488.03,3001,1147333.69,777350943443,890501394,62-3353235,"Sean Taylor, CPA","Signed electronically by Sean Taylor, CPA",4187907826527957
"Gray, James and Lang",2026,2026-01-01,2026-12-31,2026-06-13,1001,6411327.85,2045,3723718.86,3001,2687608.99,180763020035,364128039,30-4591226,"Angela Bradley, CPA","Signed electronically by Angela Bradley, CPA",4042487940084909
Simpson-Wilkerson,2026,2026-01-01,2026-12-31,2026-04-09,1001,7702086.0,2045,4760392.29,3001,2941693.71,874725351637,943359396,76-7529550,"Elizabeth Lewis, CPA","Signed electronically by Elizabeth Lewis, CPA",348328707833519
"Keith, Young and Horne",2026,2026-01-01,2026-12-31,2026-12-30,1001,6842742.0,2045,1398269.13,3001,5444472.87,223459736647,242733640,48-7067581,"Katrina Ortiz, CPA","Signed electronically by Katrina Ortiz, CPA",345413549209814
Martinez-Gray,2026,2026-01-01,2026-12-31,2026-11-23,1001,2995912.81,2045,1455018.74,3001,1540894.07,549514496616,318789102,14-1242427,"Melissa Mason, CPA","Signed electronically by Melissa Mason, CPA",348737421976372
Alvarez-Mcguire,2026,2026-01-01,2026-12-31,2026-02-22,1001,2166395.11,2045,1343383.8,3001,823011.31,064346853901,626751607,79-2976937,"Robert Hernandez, CPA","Signed electronically by Robert Hernandez, CPA",4055449134501
"Mcdaniel, Price and Reyes",2026,2026-01-01,2026-12-31,2026-09-25,1001,886213.25,2045,542994.51,3001,343218.74,873308026063,908792707,38-1161922,"Jessica Summers, CPA","Signed electronically by Jessica Summers, CPA",6011444163523453
"Pollard, Maxwell and Lewis",2026,2026-01-01,2026-12-31,2026-08-20,1001,1303277.42,2045,516231.43,3001,787045.99,123177608603,368973582,46-4541940,"Paul Potter, CPA","Signed electronically by Paul Potter, CPA",4594618132467713494
