vendor_company_name,contact_person,contact_title,business_address,phone,email,federal_tax_id,w9_reference,ach_routing_number,ach_account_number,contract_value,payment_terms,service_category,vendor_id,onboarding_date
Pitts Inc,Tina Jones,"Scientist, research (maths)","2812 Victoria Glen Suite 654, West Sharon, HI 51306",(615)460-1773,robertsonkenneth@williams.net,27-2201958,W9-VND-51342-583,720534485,080794444002,430540.71,Net 60,IT Services,VND-51342,2024-10-11
Barnes-Fischer,Daniel French,Armed forces training and education officer,"61601 Hale Parkway Suite 561, East Jennifer, OH 44805",001-369-442-7433x2768,gmarks@white-salazar.com,93-8422394,W9-VND-06192-126,147599042,992826713768,217989.2,Net 45,Facilities,VND-06192,2023-05-07
"Navarro, Foster and Miller",Julie Diaz,Farm manager,"7979 Stephanie Lock, Andrewsberg, MI 03989",455-840-1451x3775,antonio20@pham.info,26-1419113,W9-VND-76508-542,320137150,654828956883,2190693.1,Net 45,Consulting,VND-76508,2024-06-08
Rodriguez PLC,Tracy Jackson,Museum/gallery exhibitions officer,"195 Walter Ferry Apt. 596, East Christopherview, AR 32790",554-752-6137x29350,vharrison@welch-wagner.com,13-4378296,W9-VND-29307-570,364177397,760033523629,1518334.05,Net 45,IT Services,VND-29307,2025-01-21
Lewis-Brown,Marie Johnson,Passenger transport manager,"4214 Kevin Brooks, South James, HI 41997",(616)847-0239x4449,hbautista@baker.com,88-7253924,W9-VND-78220-656,981570472,020128519956,1295456.5,Net 45,Consulting,VND-78220,2025-01-02
Garcia and Sons,Henry Fritz,Advertising copywriter,"98371 Vasquez Knoll Suite 634, Lake Kristi, TN 53164",001-611-870-8610x409,michael08@ross.com,70-1126523,W9-VND-56173-154,135344002,196286084934,329078.7,Net 15,Consulting,VND-56173,2023-06-29
Zimmerman Group,Kelly Williams,Travel agency manager,"539 Marc Way Suite 264, Andersonhaven, LA 06363",667-286-9005,sfrancis@holt.info,14-4581560,W9-VND-88445-967,115655012,419962403667,878295.59,Net 45,Marketing,VND-88445,2025-06-11
Myers Inc,Steven Gross,"Teacher, primary school","055 David Plains Suite 714, Harmonchester, ME 30168",673-901-4427x794,janet13@rush.net,28-7625403,W9-VND-42195-580,854776349,503307673709,2473189.95,Net 45,Logistics,VND-42195,2024-10-14
Rasmussen-Harris,Justin Bennett,Structural engineer,"5533 Owens Trail, East Warrenstad, VT 77694",(773)667-3583,obentley@west.com,44-8101709,W9-VND-63998-575,624633783,086297117596,2855382.39,Net 45,IT Services,VND-63998,2026-04-08
Braun-Nelson,David Kennedy,Pension scheme manager,"8550 Summers Square Suite 690, Erinport, MI 51290",001-939-489-9642,chunter@wilson-hurley.info,87-2888509,W9-VND-75195-479,745949466,610552722442,2829738.16,Net 45,IT Services,VND-75195,2024-08-23
